article.url,issue.year,issue.volume,issue.issue,issue.date.of.publication,issue.pages,article.title,article.abstract,article.doi,article.pages,author1,institution1,author2,institution2,author3,institution3,author4,institution4,author5,institution5,author6,institution6,author7,institution7,author8,institution8,author9,institution9,author10,institution10,author11,institution11,author12,institution12,author13,institution13,author14,institution14,author15,institution15,author16,institution16,issue.online,version.of.record.online
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00001/abstract,2003,47,1,January 2003,1-204,Thomas Jefferson's Liberal Anticapitalism,"This article reassesses Thomas Jefferson's political economy in light of debates about the influence of liberal and republican ideas on his thought. I argue that Jefferson embraced liberal premises, but used them to reach anticapitalist conclusions. He opposed neither commerce nor the prosperity it promised; he opposed working for a wage, and he did so on liberal grounds. The first section of this article shows that John Locke's theory of property turns on the justification of capitalist labor relations. The second section establishes, first, that Locke's argument played a decisive role in the development of Jefferson's own and, second, that Jefferson redefined its terms to fashion a forceful critique of wage labor. An examination of Jefferson's writings elucidates a neglected variant of the liberal tradition, prevalent in the United States until the Populist agitation. Its core is the stigma attached to working for hire as a diminished form of liberty, tantamount to wage slavery.",10.1111/1540-5907.00001,1-17,Claudio J. Katz,Loyola University Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00002/abstract,2003,47,1,January 2003,1-204,"The Variable Incumbency Advantage: New Voters, Redistricting, and the Personal Vote","In this article we explore the personal vote costs of redistricting. After redistricting, incumbents often face significant numbers of new voters—voters that were previously in a different incumbent's district. Existing conceptualizations of the incumbency advantage suggest that the cost to incumbents of having new voters should be relatively small and predictable. We propose a different formulation: a variable incumbency advantage. We argue that any incumbency advantage among the electorate is a function of short-term effects, partisanship, and electoral saliency. We use a massive untapped dataset of neighborhood-level electoral data to test our model and to demonstrate how the intersection of the personal vote, redistricting, and short-term environmental variables can provide a healthy margin to incumbents—or end their careers.",10.1111/1540-5907.00002,18-32,Scott W. Desposato,,John R. Petrocik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00003/abstract,2003,47,1,January 2003,1-204,Stereotype Threat and Race of Interviewer Effects in a Survey on Political Knowledge,"Social desirability is generally thought to underlie the propensity for survey respondents to tailor their answers to what they think would satisfy or please the interviewer. While this may in fact be the underlying motivation, especially on attitudinal and opinion questions, social desirability does not seem to be an adequate explanation for interviewer effects on factual questions. Borrowing from the social psychology literature on stereotype threat, we test an alternative account of the race-of-interviewer effects. Stereotype threat maintains that the pressure to disconfirm and to avoid being judged by negative and potentially degrading stereotypes interferes with the processing of information. We argue that the survey context contains many parallels to a testing environment in which stereotype threat might alter responses to factual questions. Through a series of framing experiments in a public opinion survey and the reliance on the sensitivity to the race of the interviewer, our results are consistent with expectations based on a theory of “stereotype threat.” African American respondents to a battery of questions about political knowledge get fewer answers right when interviewed by a white interviewer than when interviewed by an African American interviewer. The observed differences in performance on the political knowledge questions cannot be accounted for by differences in the educational background or gender of the respondents.",10.1111/1540-5907.00003,33-45,Darren W. Davis,Michigan State University,Brian D. Silver,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00004/abstract,2003,47,1,January 2003,1-204,How Does Voting Equipment Affect the Racial Gap in Voided Ballots?,"An accumulating body of research suggests that African Americans cast invalid ballots at a higher rate than whites. Our analysis of a unique precinct-level dataset from South Carolina and Louisiana shows that the black-white gap in voided ballots depends crucially on the voting equipment people use. In areas with punch cards or optically scanned ballots, the black-white gap ranged from four to six percentage points. Lever and electronic machines, which prohibit overvoting and make undervoting more transparent and correctible, cut the discrepancy by a factor of ten. Judging from exit polls and opinion surveys, much of the remaining difference could be due to intentional undervoting, which African Americans profess to practice at a slightly higher rate than whites. In any case, the use of appropriate voting technologies can virtually eliminate the black-white disparity in invalid ballots.",10.1111/1540-5907.00004,46-60,Michael Tomz,,Robert P. Van Houweling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00005/abstract,2003,47,1,January 2003,1-204,"Liberty, Nobility, Philanthropy, and Power in Alexander Hamilton's Conception of Human Nature","Alexander Hamilton's conception of human nature grounds his political thought. His predominately and radically liberal conception of human nature is based on Locke's concept of liberty, Hobbes's concept of power, and Machiavelli's concept of the “effectual truth.” It thus stresses the necessary relation between self-interest and republican government and entails the repudiation of classical republican and Christian political ideals. But Hamilton's love of liberty is nonetheless rooted in a sense of classical nobility and Christian philanthropy that elevates even while contradicting his liberalism. The complex relation between liberty, nobility, philanthropy, and power in Hamilton's conception of human nature, in effect, defines his thought, reveals its assumptions, constitutes its strengths, and poses urgent problems. That complexity forms the spirit of his liberal republicanism.",10.1111/1540-5907.00005,61-74,Michael J. Rosano,University of Michigan-Dearborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00006/abstract,2003,47,1,January 2003,1-204,What if Everyone Voted? Simulating the Impact of Increased Turnout in Senate Elections,"The conventional wisdom among journalists and politicians is that higher turnout would benefit Democrats, although extant scholarly research suggests otherwise. We adopt a new approach to assessing the partisan impact of higher turnout. We use state-level exit polls and Census data to estimate the partisan preferences of nonvoters in Senate elections and then simulate the outcome of these elections under universal turnout. While nonvoters are generally more Democratic than voters, the dearth of close races means that very few election outcomes would have changed had everyone voted. Other scenarios—full turnout among registered voters, equal turnout rates for whites and African-Americans, and equal turnout rates across income groups—generate similar results: although Democrats fare better in each scenario, few outcomes would have changed. However, the gap between voters and nonvoters' partisan preference varies considerably across states and across years, suggesting that this “partisan differential” warrants further examination",10.1111/1540-5907.00006,75-90,Jack Citrin,"University of California, Berkeley",Eric Schickler,"University of California, Berkeley",John Sides,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00007/abstract,2003,47,1,January 2003,1-204,"Corruption, Political Allegiances, and Attitudes Toward Government in Contemporary Democracies","Using surveys conducted in sixteen mature and newly established democracies around the globe, this study examines the effect of corruption on people's attitudes toward government. The analysis demonstrates that citizens in countries with higher levels of corruption express more negative evaluations of the performance of the political system and exhibit lower levels of trust in civil servants. However, the results also show that the negative effect of corruption on evaluations of the political system is significantly attenuated among supporters of the incumbent political authorities. These findings provide strong and systematic evidence that informal political practices, especially those that compromise important democratic principles, should be considered important indicators of political system performance. Moreover, they imply that, while corruption is a powerful determinant of political support across widely varying political, cultural, and economic contexts, it does not uniformly diminish support for political institutions across all segments of the electorate.",10.1111/1540-5907.00007,91-109,Christopher J. Anderson,"Binghamton University, SUNY",Yuliya V. Tverdova,"Binghamton University, SUNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00008/abstract,2003,47,1,January 2003,1-204,"Voting's Rewards: Voter Turnout, Attentive Publics, and Congressional Allocation of Federal Money","Scholars have had limited success empirically demonstrating the importance of political participation. This study shows that political participation matters because it influences political rewards. Political participation, specifically voting, acts as a political resource for geographic groups. Voting is a resource because members of Congress seek to maximize the benefits of Federal budget allocations going to their districts. Members of Congress not only try to direct resources into their districts, but they also attempt to allocate strategically those resources to the areas that provide the best return in terms of votes. Hence, areas within congressional districts that vote at higher rates will be privileged over areas that vote at lower rates.",10.1111/1540-5907.00008,110-127,Paul S. Martin,University of Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00009/abstract,2003,47,1,January 2003,1-204,"Mandates, Powers, and Policies","Elections provide a mandate to pursue a set of policies. Party label provides a concise ideological cue for voters to choose among candidates, and research on industrial democracies verifies a link between the parties voters elect and subsequent policy outcomes. The combination of inchoate party systems and economic vulnerability elsewhere may weaken the link between voter choice and policy. When examining economic policies in Latin America, there is some controversy as to whether governments carried out “reform by surprise”—promising one thing during a campaign while implementing another in office. We test whether the ideological reputations of executives’ and legislators’ parties explain whether they adopt market-oriented policies. We find that the future behavior of presidential candidates is difficult for voters to predict. However, the ideological reputation of legislators is a reliable predictor of policy outcomes, and the relationship is clarified by the prospects of collective action by legislative delegations.",10.1111/1540-5907.00009,128-142,Gregg B. Johnson,University of Arizona,Brian F. Crisp,University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00010/abstract,2003,47,1,January 2003,1-204,Building Consensual Institutions: Networks and the National Estuary Program,"Currently, many approaches to solving policy problems seek to create community-based, less coercive solutions that are creating the conditions for the birth of new regional governmental institutions. We argue that networks form the core of these emergent structures and that federal programs can play a positive role in developing local networks. Our empirical work compares networks in estuaries included in National Estuary Program with networks in comparable estuaries that were not. We find that the networks in NEP areas span more levels of government, integrate more experts into policy discussions, nurture stronger interpersonal ties between stakeholders, and create greater faith in the procedural fairness of local policy, thus laying the foundation for a new form of cooperative governance.",10.1111/1540-5907.00010,143-158,Mark Schneider,,John Scholz,,Mark Lubell,,Denisa Mindruta,,Matthew Edwardsen,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
