doi,vol-no,numberOrnot,type,pnp,abstract
10.1257/aer.p20151087,105-05,0,empirical,1,"The Great Recession marks the worst downturn since those of the early 1980s. A large literature considers how the public safety net responded to this shock. We instead consider the responsiveness of one dimension of the private safety net. Families can react to negative shocks by moving in with relatives or downsizing. We use across-state over-time variation to estimate the effects of cycles on living arrangements, paying particular attention to young adults. We find living arrangements are cyclical, but effects are small. Surprisingly given the press attention, we find no evidence that things are different in the Great Recession."
10.1257/aer.p20151088,105-05,1,empirical,1,"Unemployment Insurance benefit durations were extended during the Great Recession, reaching 99 weeks for most recipients. The extensions were rolled back and eventually terminated by the end of 2013. Using matched CPS data from 2008-2014, we estimate the effect of extended benefits on unemployment exits separately during the earlier period of benefit expansion and the later period of rollback. In both periods, we find little or no effect on job-finding but a reduction in labor force exits due to benefit availability. We estimate that the rollbacks reduced the labor force participation rate by about 0.1 percentage point in early 2014."
10.1257/aer.p20151089,105-05,0,empirical,1,"The US Social Security Disability Insurance (SSDI) program is designed to provide income support to workers who become unable to work because of a severe, long-lasting disability. In this study, we use administrative data to estimate the effect of labor market conditions, as measured by the unemployment rate, on the number of SSDI applications, the number and composition of initial allowances and denials, and the timing of applications relative to disability onset. We analyze the period of the Great Recession, and compare this period with business cycle effects over the past two decades, from 1992 through 2012."
10.1257/aer.p20151012,105-05,0,empirical,1,"Energy-efficient technologies offer considerable promise for reducing the financial costs and environmental damages associated with energy use, but these technologies appear not to be adopted to the degree that appears justified, even on a purely private basis. We present two complementary frameworks for understanding this so-called ""energy paradox"" or ""energy efficiency gap."" First, we build upon previous literature by dividing potential explanations for the energy efficiency gap into three categories: market failures, behavioral anomalies, and model and measurement errors. Second, we examine the elements of cost-minimizing energy efficiency decisions, the typical benchmark used in assessing the gap's magnitude."
10.1257/aer.p20151008,105-05,0,empirical,1,"A corrective tax or subsidy is ""well-targeted"" if it primarily affects choices that are more distorted by market failures. Energy efficiency subsidies are designed to correct multiple distortions: externalities, credit constraints, ""landlord-tenant"" information asymmetries, imperfect information, and inattention. We show that three important energy efficiency subsidies are primarily taken up by consumers who are wealthier, own their own homes, and are more informed about and attentive to energy costs. This suggests that these subsidies are poorly targeted at the market failures they were designed to address. However, we show that ""tagging"" can lead to large efficiency gains."
10.1257/aer.p20151009,105-05,0,empirical,1,"Inattention may be an important contributor to the energy efficiency gap and may be particularly acute in residential buildings where many different features will determine a home's energy use. Energy audits can provide information on how to reduce energy loss in a home, but the use of audits is rare. We use data from a national survey of 1700 homeowners to study the factors affecting a home owner's choice to have an audit.  We create an index of energy inattention for our survey respondents. This index and two additional behavioral factors prove to be important determinants of the audit choice."
10.1257/aer.p20151010,105-05,0,empirical,1,"We examine the role of individual discount rates in energy efficiency decisions using evidence from an extensive survey of US homeowners to elicit preferences for energy efficiency and cash flows over time. We find considerable heterogeneity in individual discount rates. We also find that individual time preferences systematically influence willingness to invest in energy efficiency, as measured through product choices, required payback periods, and energy efficiency tax credit claims. Education is a key driver of individual discount rates. Our findings highlight the importance of individual discount rates to understanding energy efficiency investments, the energy-efficiency gap, and policy evaluation."
10.1257/aer.p20151011,105-05,1,empirical,1,"We document very low take-up of an energy efficiency program that is widely believed to be privately beneficial. Program participants receive a substantial home ""weatherization"" retrofit; all installation and equipment costs are covered by the program. Less than 1 percent of presumptively eligible households take up the program in the control group. This rate increased only modestly after we took extraordinary efforts to inform households&mdash;via multiple channels&mdash;about the sizable benefits and zero monetary costs. These findings are consistent with high non-monetary costs associated with program participation and/or energy efficiency investments."
10.1257/aer.p20151040,105-05,0,empirical,1,"Immigration enforcement has ambiguous implications for the crime rate of undocumented immigrants. On the one hand, expulsions reduce the pool of immigrants at risk of committing crimes, on the other they lower the opportunity cost of crime for those who are not expelled. We estimate the effect of expulsions on the crime rate of undocumented immigrants in Italy exploiting variation in enforcement toward immigrants of different nationality, due to the existence of bilateral agreements for the control of illegal migration. We find that stricter enforcement of migration policy reduces the crime rate of undocumented immigrants."
10.1257/aer.p20151041,105-05,1,empirical,1,"I examine the effects that the 1986 Immigration Reform and Control Act (IRCA), which legalized almost 3 million immigrants, had on crime in the United States. I exploit the IRCA's quasi-random timing as well as geographic variation in the intensity of treatment to isolate causal impacts. I find decreases in crime of 3-5 percent, primarily due to decline in property crimes, equivalent to 120,000-180,000 fewer violent and property crimes committed each year due to legalization. I calibrate a labor market model of crime, finding that much of the drop in crime can be explained by greater labor market opportunities among applicants."
10.1257/aer.p20151042,105-05,0,empirical,1,"Changes in the treatment of individuals by the criminal justice system following a policy intervention may bias estimates of the effects of the intervention on underlying criminal activity. We explore the importance of such changes in the context of the Immigration Reform and Control Act of 1986 (IRCA). Using administrative data from San Antonio, Texas, we examine variation across neighborhoods and ethnicities in police arrests and in the rate at which those arrests are prosecuted. We find that changes in police behavior around IRCA confound estimates of the effects of the policy and its restrictions on employment on criminal activity."
10.1257/aer.p20151043,105-05,0,empirical,1,"Using historical data on the size of state-specific Mexican birth cohorts and geographic migration networks between Mexican states and US metropolitan areas, I construct an instrumental variable that predicts decadal migration from Mexico to the United States. The intuition behind this identification strategy is that larger historical birth cohorts in Mexico yield more potential migrants once each birth cohort reaches prime migration age. I report evidence that Mexican immigration is associated with a decline in property crimes and an increase in aggravated assaults. The available evidence suggests that this is not an artifact of reduced crime reporting among immigrants."
